"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Et_1A_008634",93.9786683380229,1.09251260674736,0.246437891614332,4.43321682226169,9.28374183616531e-06,3.12162684336975e-05
"Et_1B_010897",16.3013713519518,-2.68323091067088,0.605265344550875,-4.43314809748759,9.28670281622797e-06,3.12237437977888e-05
"Et_10B_004249",15.3203013820883,2.15841581229755,0.486889498074769,4.43307120164275,9.29001691323412e-06,3.12324051293349e-05
"Et_1B_013315",9.04805627992274,5.24935547239283,1.18417600964953,4.43291827364957,9.2966112416605e-06,3.1252092123844e-05
"Et_4A_034541",4.92162252052497,-5.00047420313657,1.12812415804566,-4.43255661841271,9.31222378683457e-06,3.13020898061032e-05
"Et_3A_024716",7.97096867506411,-3.03930042467477,0.685714208460866,-4.43231361866731,9.32272807770273e-06,3.13324215572093e-05
"Et_2B_020672",21.7331691746163,1.9615394996769,0.442559030297548,4.43226635406826,9.32477252656333e-06,3.13368040438466e-05
"Et_7B_055892",112.11188473028,2.84779205226208,0.642598352813249,4.43168277633245,9.35005073211293e-06,3.14167643495847e-05
"Et_6A_047940",24.6593280755473,-2.04790612929719,0.462140048179831,-4.43135395290454,9.36432284400482e-06,3.14622215590889e-05
"Et_3B_029701",170.385918060005,-1.12446491261814,0.25375671837322,-4.43127149431486,9.36790510415613e-06,3.1471758673326e-05
"Et_5A_041813",26.1912755635935,2.74286142791341,0.619179334877006,4.42983360944734,9.43058219756487e-06,3.16772949123697e-05
"Et_Un_066433",9.08348669524764,3.15764028731667,0.713072665960259,4.42821669943615,9.50154148181245e-06,3.19080491596812e-05
"Et_2B_020409",7.95751854852127,-3.20562565392288,0.72393252160103,-4.42807244911916,9.50789673573396e-06,3.19268578795732e-05
"Et_10A_000034",4.22147054827408,-5.65586034347249,1.27729710063161,-4.42799121729448,9.51147736326642e-06,3.19363473511135e-05
"Et_3B_030808",99.6902240086785,-1.71496602810334,0.387309859713585,-4.42789148040681,9.51587543953992e-06,3.19485798176382e-05
"Et_Un_067832",11.5896804489164,-4.40074596186764,0.993879269223487,-4.42784762510031,9.5178099325197e-06,3.19525397702867e-05
"Et_3B_027939",26.8856236980104,-1.67725420603901,0.378851024174628,-4.42721307060765,9.5458427230169e-06,3.20441075623126e-05
"Et_2B_019067",6.08468206709436,-4.12932448208658,0.932721178701817,-4.42717992941242,9.54730897075678e-06,3.20464875985427e-05
"Et_5A_042562",4.09139187279016,6.05367196344746,1.36743481602331,4.42702781332742,9.55404171987108e-06,3.20665433884483e-05
"Et_4B_038487",85.891810028962,-1.49898291460337,0.338619574525465,-4.42674619948953,9.56651809002225e-06,3.21058719722238e-05
"Et_5B_043028",6.61492413121935,-5.30668634412937,1.19879027630594,-4.42670119120575,9.56851353914122e-06,3.21100224388595e-05
"Et_9A_063247",893.477837400663,-1.63361991054042,0.36908598382604,-4.42612286060255,9.59418931970141e-06,3.21936324143485e-05
"Et_5B_043522",238.904236081446,1.03290961907814,0.233399623934761,4.42549821488513,9.62199525248535e-06,3.22843763644795e-05
"Et_4A_032003",5.08050092034275,-5.27831984822048,1.1928931685597,-4.42480516054385,9.6529364633181e-06,3.23830575606518e-05
"Et_2B_020528",111.255275617313,1.06241796599494,0.240133930482091,4.42427258764323,9.67677758311619e-06,3.24553199649292e-05
"Et_2B_019080",383.987407006237,-1.02238117940567,0.231095754855122,-4.42405867665817,9.68636933127647e-06,3.24823415292885e-05
"Et_10B_003812",152.446755190509,-1.14399718697549,0.258590883036809,-4.42396566166892,9.69054294704751e-06,3.24937625797521e-05
"Et_3A_027213",7.11855075576041,5.33221122733528,1.20555795904821,4.42302353637571,9.7329133744771e-06,3.26332509909579e-05
"Et_1A_007439",16.9557758008111,2.4444864006082,0.552686817940898,4.42291424592942,9.73783995929232e-06,3.2647182688525e-05
"Et_7A_051697",22.7387073613187,-4.1299394360757,0.933847243407112,-4.42250000225705,9.75653483177675e-06,3.27046775509538e-05
"Et_1A_008768",54.0156645051645,-1.99258972242106,0.450582259364859,-4.42225516208698,9.76760061620416e-06,3.27391777346555e-05
"Et_1B_013154",144.267002922602,1.09072051524977,0.246680694519177,4.42158847240059,9.79779309029087e-06,3.28377764774776e-05
"Et_7B_055394",7.5135923272181,-3.93960427832814,0.89105202092944,-4.42129548645073,9.81108976602418e-06,3.28797370049211e-05
"Et_3A_024331",42.5659948625475,1.03697495222051,0.234594261857506,4.42029120409763,9.85679835824006e-06,3.30250737487704e-05
"Et_3B_029601",126.374082522108,1.44859897036762,0.327753380948242,4.41978345479335,9.87998524652718e-06,3.31001405662627e-05
"Et_4A_034831",121.407603681064,-1.59220096445117,0.36025914878133,-4.41959897434168,9.88842262996606e-06,3.31257853004166e-05
"Et_10B_003642",160.270438163848,-1.74835627331111,0.395626699120609,-4.41920698779258,9.9063733497966e-06,3.31806664157809e-05
"Et_5B_044180",8.56121672898815,2.81260215729188,0.636483229647952,4.41897292226784,9.91710703611049e-06,3.32139893770336e-05
"Et_1B_012787",27.9585794980507,1.71446495493149,0.388011761686252,4.41859016716562,9.93468321010038e-06,3.3270221844698e-05
"Et_3A_025224",29.5187886693877,-2.58826849662896,0.585851750936504,-4.41795811396233,9.96377234161881e-06,3.33649980611891e-05
"Et_2B_021274",470.814671838807,-1.08261112327677,0.24505927624561,-4.41775206334863,9.97327302758623e-06,3.33941699918862e-05
"Et_3A_026547",37.1470218625396,1.8305338534697,0.414365927230781,4.41767465221671,9.97684457470578e-06,3.34008434776955e-05
"Et_10A_001374",44.8225160948196,1.25941564338834,0.2850875494973,4.41764519569195,9.97820394254096e-06,3.34027520050889e-05
"Et_3A_026903",37.1630070686963,1.52475906552218,0.345170928967681,4.41740290841511,9.98939179639912e-06,3.34375591887693e-05
"Et_10A_002151",5.31087528693234,-5.13885320849912,1.16335868601495,-4.41725606236038,9.99617838800576e-06,3.34576296567861e-05
"Et_2B_021355",9.87621747138961,2.7501873999491,0.622626363268303,4.41707509060934,1.00045481800098e-05,3.34829955696336e-05
"Et_3B_029865",22.9488137480511,1.66292775384119,0.376503913402623,4.41676087457529,1.00190963109241e-05,3.35290333606128e-05
"Et_8B_059191",15.026819200625,-2.09071392368164,0.47339761011517,-4.41640151747491,1.00357592310335e-05,3.35821404805358e-05
"Et_4B_039583",114.945299334579,1.33112967844659,0.301412892127441,4.41629974435125,1.00404831254364e-05,3.35952914190756e-05
"Et_8A_057435",12.8135527241192,-1.7598132463916,0.398511238863647,-4.41596892325972,1.00558531707217e-05,3.36440593078458e-05
"Et_3A_023264",9.83229546360385,-2.57270028039532,0.582710604023372,-4.41505656947361,1.0098357927736e-05,3.37835974309714e-05
"Et_1B_014296",112.503461556455,-1.68197988300375,0.381047141757205,-4.41409919845422,1.0143144424927e-05,3.39280645007043e-05
"Et_3B_028086",22.0408000419286,-1.55153851313827,0.351506074789154,-4.41397353962926,1.01490368986764e-05,3.39450914053573e-05
"Et_8B_059604",108.892610085491,-1.5523347915204,0.351721612610313,-4.41353256628075,1.01697411800648e-05,3.40116521843165e-05
"Et_7A_051531",9.4360983143195,2.90015250364923,0.657142083941076,4.4132807417479,1.0181582763719e-05,3.40485644062102e-05
"Et_8A_056721",18.6165994971519,-1.91790498733659,0.434719420883072,-4.41182264974644,1.02504061318575e-05,3.42705946832209e-05
"Et_2A_017602",65.3101448211232,1.01027807219562,0.229001085853779,4.41167371948924,1.02574607400317e-05,3.42914715631679e-05
"Et_7A_052261",13.8092528391732,1.98221883832878,0.449330324966554,4.41149579315912,1.02658949285601e-05,3.43169568228011e-05
"Et_Un_067778",5.66928215747415,-4.96451285607326,1.12540935228105,-4.41129518429084,1.02754122739247e-05,3.43460585603423e-05
"Et_3A_025572",467.147877806481,1.00780331788768,0.228463517341861,4.41122210501405,1.02788814160965e-05,3.43549408884223e-05
"Et_5A_041842",33.2356122256746,-1.1857120955093,0.268823345929126,-4.41074822356356,1.03014041732074e-05,3.44274993769359e-05
"Et_5B_044458",7.0379745136401,-3.55833290153522,0.806774606059511,-4.41056631531204,1.03100624665106e-05,3.44537147491098e-05
"Et_3A_023111",104.806975011135,2.49363416385035,0.565543578851576,4.40926969573956,1.03719793340224e-05,3.46551528040287e-05
"Et_1B_012773",32.7414463794272,1.34165238544166,0.304352123459097,4.40822416546067,1.04221645006069e-05,3.48173351488542e-05
"Et_3A_023890",133.530753044706,-2.14550421154461,0.486717952905572,-4.4081057596839,1.04278625407434e-05,3.48336208638613e-05
"Et_3A_026672",120.243599141068,-2.03122738436167,0.460799221856968,-4.40805298276341,1.04304032824279e-05,3.48393580830584e-05
"Et_5A_040393",10.2776860032991,-3.35122549090728,0.760289972907603,-4.40782544861281,1.0441363808078e-05,3.48732157176118e-05
"Et_2A_014677",857.071801711598,-1.00751574247878,0.228610324795449,-4.40713140747368,1.0474864379175e-05,3.49773809746803e-05
"Et_9B_064240",78.4802825865305,2.47540550811089,0.561682241609704,4.40712795372829,1.04750313438823e-05,3.49773809746803e-05
"Et_1A_006955",141.614357030191,-1.42389479121371,0.323122308465793,-4.40667435799918,1.04969816595866e-05,3.50479103616334e-05
"Et_2A_018412",112.296412949588,-5.33103088093073,1.20985682159683,-4.40633204340208,1.05135759548283e-05,3.50991559900763e-05
"Et_3B_028015",43.4920264852227,-1.00504692010727,0.228195040980118,-4.40433287152298,1.06109907669816e-05,3.54173932690795e-05
"Et_2A_016926",159.314276945277,-1.25736001687738,0.285534282513346,-4.40353433503598,1.06501419048e-05,3.55452685655471e-05
"Et_2B_020866",14.3628682086895,-2.54663398427148,0.578360798136683,-4.40319259617184,1.06669390005754e-05,3.55985220806208e-05
"Et_7A_051436",129.779162579436,-1.1056468453162,0.251103473266328,-4.40315233769592,1.06689194436694e-05,3.56023238334717e-05
"Et_9B_063638",9.14383207197103,-3.04706639790673,0.692035499480082,-4.40304926581939,1.06739914789571e-05,3.56164408570105e-05
"Et_9B_065884",12.4843418945877,-2.51532416687518,0.571299487929191,-4.40281187016736,1.06856821753255e-05,3.56526387306667e-05
"Et_1B_011942",16.9828114619474,-1.95574516124256,0.444232352264062,-4.40252753153831,1.0699700699699e-05,3.56965970525234e-05
"Et_5A_041471",8.48049955632229,3.34213698327491,0.759184266440199,4.40227377069618,1.07122264993114e-05,3.57355687727304e-05
"Et_2B_020313",772.481151536261,-1.35203255637627,0.307136150500351,-4.40206258421126,1.07226614747533e-05,3.57675599914526e-05
"Et_10B_003501",15.6099391288732,-2.05634791842759,0.467185604708805,-4.40156524024172,1.07472741886657e-05,3.58440100610239e-05
"Et_3A_025004",40.6429758538778,-1.50400025468613,0.341716163541912,-4.40131435135248,1.07597107173698e-05,3.58826601701412e-05
"Et_5B_044452",30.5232790783829,-2.94127683678923,0.668289336586552,-4.40120270631956,1.07652493635905e-05,3.58978115807232e-05
"Et_8A_057788",39.7028892319027,1.27884501217439,0.29056810215945,4.40118857737735,1.07659504863549e-05,3.58978115807232e-05
"Et_5B_044417",175.904559749549,-1.14052874361264,0.259244823684558,-4.39942725722619,1.08536950852252e-05,3.61818334782772e-05
"Et_9A_062221",98.0381098729891,1.08634091450636,0.246959686765051,4.3988592986023,1.08821346685558e-05,3.62737822285194e-05
"Et_10B_002825",14.9541165884672,5.34944630782483,1.21640018709033,4.3977684027005,1.09369591610515e-05,3.64536592656295e-05
"Et_10A_000947",87.4981878353555,2.04712360627208,0.465528903818506,4.3974146169669,1.09547957148518e-05,3.65073592135228e-05
"Et_4A_035320",49.8544048344083,-1.14086367385207,0.259464562131261,-4.39699226931391,1.0976125272623e-05,3.65755607509767e-05
"Et_7A_052986",28.3723344823401,2.5615786792764,0.582621013290173,4.39664656928638,1.0993613447675e-05,3.66309519806003e-05
"Et_4B_039008",43.033801291203,-1.24159984879673,0.282400740635146,-4.39658850045596,1.09965536255858e-05,3.66378640713895e-05
"Et_1B_011786",79.2190742443049,-1.42499264682204,0.324121234896811,-4.3964803703025,1.10020305408836e-05,3.6653226205636e-05
"Et_3A_024850",19.8359219989149,4.18043054268353,0.950882048115632,4.39637129649036,1.10075578920638e-05,3.66687539351497e-05
"Et_5A_042871",11.8743512821153,-2.79452872157519,0.635693951199908,-4.39602849185581,1.10249468945889e-05,3.67237900495083e-05
"Et_8A_058379",7.87915425792134,4.26585511273881,0.970455162718057,4.39572612586343,1.10403063844931e-05,3.67720577830746e-05
"Et_5A_042728",22.135250963381,1.69085090872808,0.384676791532843,4.39551058432834,1.10512678636192e-05,3.67998785103758e-05
"Et_4B_039637",8.54831755982073,3.38675767814872,0.770526128370764,4.39538330167965,1.10577457690238e-05,3.68185523953647e-05
"Et_9B_064831",14.3649583147509,-3.45958932066628,0.787202735848222,-4.39478823322244,1.10880792230897e-05,3.69108402989976e-05
"Et_2A_016011",83.8282726574612,1.03791385883383,0.236185880403515,4.39447886156695,1.11038807300723e-05,3.69605342533161e-05
"Et_1A_006190",98.1688200563212,-1.25173258238184,0.284881910593712,-4.3938647412647,1.11353113364892e-05,3.70612703144493e-05
"Et_1A_004739",4.39568547234394,-4.98508050627215,1.13455778455767,-4.39385333574321,1.11358958723662e-05,3.70612703144493e-05
"Et_9B_065049",129.060437134661,1.08402832469582,0.246717413683951,4.39380548178281,1.11383487193224e-05,3.70665186601969e-05
"Et_Un_066398",8.15585155967696,4.74852482941707,1.08078685651084,4.39358121428953,1.11498508564151e-05,3.71018783018941e-05
"Et_9A_062267",236.766325969381,-1.3296196502349,0.302699089112301,-4.39254592451585,1.12030955219721e-05,3.72731920196429e-05
"Et_3B_028708",6.81981691715415,3.42064491211804,0.778774099893773,4.39234549863,1.1213431375999e-05,3.73046471057524e-05
"Et_2A_017487",67.6648515184913,1.10253661663677,0.25107471691952,4.3912689822535,1.12691026852633e-05,3.74869065901857e-05
"Et_7B_054115",69.5933139273987,-2.67259662435355,0.608673487502892,-4.39085434017832,1.12906159235439e-05,3.75555188150891e-05
"Et_6A_048114",11.4652572733219,2.69983769618476,0.614958626094863,4.39027534800087,1.13207218885051e-05,3.76497406932446e-05
"Et_3B_029498",6.71158982188889,4.93931932189598,1.12513584177428,4.38997598201736,1.1336318117708e-05,3.76986470801039e-05
"Et_2A_015789",138.148252545368,1.46059150746214,0.332750482844174,4.38944970110272,1.1363785792466e-05,3.7787020879796e-05
"Et_8A_057762",33.431167548257,-1.44505810041644,0.329238603793223,-4.38909071951964,1.13825582096503e-05,3.78434962237726e-05
"Et_3B_029055",1625.21666462414,1.4125416063393,0.321862749394765,4.38864580941864,1.14058652155333e-05,3.7915027564321e-05
"Et_4A_035467",57.3695228698626,-1.51965671198978,0.346322308696846,-4.38798389196469,1.14406246663674e-05,3.80216142516623e-05
"Et_8B_060847",7.51509015590693,5.17982460640913,1.18045503088472,4.38798977588074,1.14403152377231e-05,3.80216142516623e-05
"Et_3A_023551",29.6197452020002,2.02481944307047,0.461479553737904,4.38766880714386,1.14572063027325e-05,3.80737315062143e-05
"Et_3A_025392",178.421143130201,-1.20874042150059,0.275490445423933,-4.38759471182582,1.14611089692738e-05,3.80837100800619e-05
"Et_4B_036540",292.97816510268,-1.03873420008354,0.236768913989201,-4.38712237422739,1.14860172568948e-05,3.81634804358786e-05
"Et_2A_016291",362.055124730685,1.08480046934986,0.247320683465908,4.38621005792018,1.15342737828407e-05,3.83208091136612e-05
"Et_4A_032834",150.734892125748,1.09611431915901,0.24991721559995,4.38590961622103,1.15502078159694e-05,3.83707351261344e-05
"Et_6B_049241",41.0077684246297,1.42520515223496,0.325108339036091,4.38378528357817,1.16634735578389e-05,3.87409309291063e-05
"Et_9B_065189",18.6815785804372,-2.03793418470602,0.464919718453993,-4.38341094992228,1.16835419357075e-05,3.88045436131803e-05
"Et_3B_028494",93.8940896074034,-3.379015767701,0.770940911326883,-4.38297633198023,1.17068835589864e-05,3.88790168889825e-05
"Et_9A_062054",305.172494974383,-1.73918636800536,0.396892970964421,-4.38200344989548,1.17592946751731e-05,3.90500118215102e-05
"Et_9A_063542",714.700382912497,-2.32667981053319,0.530968038711944,-4.38195831179856,1.17617317837296e-05,3.90550403364014e-05
"Et_1B_010846",69.1268152770654,1.79961360227301,0.410754205794429,4.38124205884253,1.18004684894388e-05,3.91713723800337e-05
"Et_7A_050706",28.9563432106224,1.51434596043829,0.345691881812379,4.38062343986483,1.1834022885249e-05,3.927967439245e-05
"Et_3B_029229",10.0725612812729,-3.03997325197502,0.694120172656686,-4.37960654613996,1.18893779924462e-05,3.94603150059073e-05
"Et_2B_020490",202.57094952034,-1.04161405302693,0.237834320930107,-4.3795783928638,1.18909140399443e-05,3.94623182379583e-05
"Et_7B_053934",5.24016439314437,-5.67541438111168,1.29592523838692,-4.37943039690781,1.18989918396317e-05,3.94860295344792e-05
"Et_4B_037643",231.082142468543,1.44093992650554,0.329083507441188,4.37864521898914,1.19419354844969e-05,3.96192152480331e-05
"Et_5B_043019",22.5585390651472,1.72914818211894,0.394927974114174,4.37838870745339,1.19559968670634e-05,3.9662756715068e-05
