"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Et_7B_055868",58.5757066046768,3.95168430100063,0.473097417808897,8.35279194568944,6.66680223232667e-17,4.32198330992746e-16
"Et_4B_036652",573.266527945024,1.8067798579078,0.216347793754647,8.3512747070433,6.75301544828787e-17,4.37720345798044e-16
"Et_5A_042161",32.3656689848707,3.90576174025259,0.467685824452166,8.35125106652033,6.75436742312132e-17,4.37740933149302e-16
"Et_9A_061195",75.0555665144481,7.47173647566987,0.894727432122258,8.3508521225813,6.77722288089471e-17,4.39154910916344e-16
"Et_4A_035218",140.805384947028,-2.03666927969971,0.243888295777204,-8.35082828886645,6.77859072389734e-17,4.39176300421518e-16
"Et_3B_031043",528.48955891942,-2.55295104044857,0.305732835589793,-8.35026776081685,6.81083865781497e-17,4.41198059082703e-16
"Et_2A_016433",62.3921745885199,-3.60668702079715,0.43198543386118,-8.34909406217657,6.8788540138861e-17,4.45535815530548e-16
"Et_3B_030380",350.522165984324,-1.21377510127233,0.145391032305929,-8.3483491520875,6.92236827935996e-17,4.48285578550136e-16
"Et_2A_017563",50.3407467624281,-5.56521568465378,0.666649508893336,-8.34803837760604,6.94060246505529e-17,4.49397638190239e-16
"Et_6B_049879",59.8019921434738,3.34673272351546,0.400930699129657,8.3474094919161,6.97764634456984e-17,4.51727081692207e-16
"Et_4A_035266",107.942018665244,1.82887645336644,0.219106132509219,8.34698888808823,7.00253033546859e-17,4.53268711833941e-16
"Et_4A_034836",71.7356187053456,3.3144540242254,0.397107451982523,8.34649163010739,7.03206229786494e-17,4.55110684272281e-16
"Et_1B_012692",62.3970023346067,-2.10164776509772,0.251800725551086,-8.34647223711568,7.03321652545268e-17,4.55115784949782e-16
"Et_8B_059615",21.6605874480157,-3.42133817826728,0.40992025671419,-8.34635059436144,7.04046069348849e-17,4.55514900700861e-16
"Et_1B_013922",358.504650458727,-3.40884177155863,0.408446526840625,-8.34587038339234,7.06913054179893e-17,4.57299915207781e-16
"Et_8B_059641",1179.03625465746,-1.28692974597966,0.154203378099042,-8.34566506807064,7.08142351181939e-17,4.5802513070487e-16
"Et_4B_039258",69.8374610669808,-3.96880695635442,0.47556286959136,-8.34549375094133,7.09169702029558e-17,4.5861952612914e-16
"Et_7A_051119",26.8932772251801,-5.71363894562775,0.684674756959036,-8.34504103963861,7.11891591002137e-17,4.60309429048288e-16
"Et_1B_013663",64.4094730784302,-5.79879705115094,0.69490095976047,-8.34478204368831,7.13453413105587e-17,4.61248830470951e-16
"Et_8B_058678",104.674786023966,1.59448410944567,0.191082945131163,8.34446061290911,7.15396435721743e-17,4.62434354051385e-16
"Et_4B_036251",64.6166429017921,6.72368697170277,0.805807071680788,8.34404066184007,7.17942870394045e-17,4.64009503284606e-16
"Et_2B_022525",200.209202754421,-1.74697600749298,0.209378786857723,-8.34361509927025,7.20532449904155e-17,4.65612051915466e-16
"Et_3B_030514",99.2962912749671,5.44783611998935,0.653045611126573,8.34219850370214,7.29219083085146e-17,4.71153459483411e-16
"Et_7A_051595",29.962026795671,-4.6923310332551,0.562507487864868,-8.34181079271668,7.31614493764331e-17,4.7262899368198e-16
"Et_7A_052508",71.737959357268,7.5189981174797,0.901485954305819,8.34067140099774,7.38699047378992e-17,4.77132840126357e-16
"Et_10B_003198",925.899899293001,-1.6019697249231,0.192068100970922,-8.34063395652372,7.38933015700554e-17,4.77211128100831e-16
"Et_1A_006916",112.727703488897,2.40121319887685,0.287901773778975,8.34039043024545,7.40456451315668e-17,4.78122017389061e-16
"Et_7A_050489",49.1306312482558,-1.95618764529616,0.234560461020002,-8.33980133220046,7.44154513037756e-17,4.80436597891043e-16
"Et_2B_019970",24.8748660040979,-3.46931458563242,0.416000990532055,-8.33967866565713,7.44926840162826e-17,4.80861865095955e-16
"Et_8A_057140",322.036347797728,2.26101675995989,0.271129724168466,8.339243389467,7.47673789686199e-17,4.82561457671495e-16
"Et_6A_046696",655.706999815515,2.61113457853503,0.313194105961674,8.33711276435885,7.61264570617415e-17,4.91258259050457e-16
"Et_3A_024470",249.052318489299,2.09584935788592,0.251392596442798,8.33695736287448,7.62265320987814e-17,4.91829065165487e-16
"Et_3B_029567",52.3427946931881,-6.78621428204294,0.81399563022596,-8.33691733720872,7.62523287258591e-17,4.91920510926579e-16
"Et_2A_018627",36.9078508410067,-3.9540777577559,0.474312365265784,-8.33644249510597,7.65590231856739e-17,4.9382378619383e-16
"Et_4B_038041",339.516730498291,3.57964884089575,0.42944275767785,8.33556691059873,7.71277451631488e-17,4.97416363197876e-16
"Et_3B_030989",47.0550128092249,3.87657469841176,0.465082731136937,8.33523680600896,7.73432391113196e-17,4.98730135485456e-16
"Et_7A_052938",186.350224952742,-1.31807035099389,0.158145340614966,-8.334550647325,7.77930685954312e-17,5.0155433622161e-16
"Et_4A_035528",47.744209522358,-3.36556388864017,0.40382732139162,-8.33416589309058,7.80464323838261e-17,5.03111198550422e-16
"Et_8B_058606",43.2431600622863,-2.98171356929912,0.357791462443378,-8.33366327116032,7.83786392579012e-17,5.05175755923603e-16
