"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Et_3A_024096",821.322727965919,-1.2431407301569,0.221586140683724,-5.61019171289809,2.02102599550283e-08,4.34161523500913e-06
"Et_5B_045571",97.1853274063204,-1.86878976252934,0.333087688613125,-5.61050385954045,2.01738372890395e-08,4.34161523500913e-06
"Et_5B_044649",71.8783505248142,2.02833853219872,0.362320619250977,5.59818686662628,2.16605207702623e-08,4.62966282321969e-06
"Et_9A_061194",181.172796721287,-1.32641109679515,0.237725731898661,-5.57958571081646,2.41092122835929e-08,5.12714504443042e-06
"Et_7A_050707",23.7214644186471,-2.28072772576095,0.408921999576688,-5.57741507701209,2.44118892972831e-08,5.16555577530511e-06
"Et_4B_038325",73.6483855669846,-1.28316522653104,0.230286926558397,-5.57202810297464,2.51790791317561e-08,5.30138621321352e-06
"Et_3B_030142",196.676662033462,-1.30905923210084,0.235132024414176,-5.56733705399047,2.58661766430986e-08,5.41909205710858e-06
"Et_5A_041761",110.12680158458,-1.5291020576207,0.274765267150014,-5.56512136152149,2.61970023933554e-08,5.46136522801379e-06
"Et_6B_048903",618.23277617165,-1.09412435617664,0.196651581289267,-5.56377095471827,2.6400642065786e-08,5.47683907952972e-06
"Et_7A_052248",148.345831291324,-2.58998333928527,0.465962592174313,-5.55835035426273,2.72336306305409e-08,5.59479246740045e-06
"Et_8B_059381",25.2643239936916,2.40475460735724,0.433434050673507,5.54814418392031,2.88717740922338e-08,5.90267381441224e-06
"Et_1B_009917",83.6101834024041,-1.72142867670349,0.310331775099962,-5.54705903431575,2.90514674805785e-08,5.91085626816386e-06
"Et_10A_000015",25.7762259991905,-2.20308179724176,0.397653969045863,-5.54019818418479,3.02129529916218e-08,6.11776158184418e-06
"Et_2A_018316",118.511115221972,-2.65717657426404,0.47969236558407,-5.53933471721751,3.03622846318409e-08,6.11872326485479e-06
"Et_9B_064339",128.16310612888,1.918301675693,0.346492027553909,5.53635155543236,3.08837359516687e-08,6.19431140035365e-06
"Et_3B_031090",439.887533824088,-2.19583632541542,0.396767943893512,-5.5343088049592,3.12458056415348e-08,6.23737025825356e-06
"Et_7B_054727",283.058293517045,-1.90357687567795,0.344287718443334,-5.52902927901349,3.22007604096269e-08,6.39782244382822e-06
"Et_5A_042338",149.944833176631,-1.11899734935944,0.203167940188625,-5.50774570200663,3.63457925068285e-08,7.1876352284532e-06
"Et_4B_038894",164.271513465252,2.14443359250156,0.390404096217661,5.49285628218915,3.95484623512996e-08,7.71286141339631e-06
"Et_6A_047445",5.92272357290973,-3.06417313735904,0.5583200835288,-5.48820153126549,4.06046650133606e-08,7.88252029066707e-06
"Et_3B_031574",149.957997285047,-2.07942835602945,0.378951543096655,-5.48731993287879,4.08077648837418e-08,7.88577447433768e-06
"Et_6B_049922",74.5085706287441,-1.55146819397424,0.282897890624178,-5.48419852318841,4.15348138760228e-08,7.98978783287856e-06
"Et_2B_020640",20.367133965453,4.22005820958715,0.769734699513827,5.48248404580511,4.19394833112852e-08,8.03112639698456e-06
"Et_3A_027310",277.808554232314,1.16019367539991,0.211986297571639,5.47296541658705,4.42566505842562e-08,8.37682159800962e-06
"Et_5A_041446",231.041207221182,-1.32021357154871,0.241273772110973,-5.47184868043378,4.4536504242726e-08,8.37682159800962e-06
"Et_6B_048732",141.885330899694,1.32342784103656,0.241990165892664,5.46893232687633,4.52754560147926e-08,8.47812963958418e-06
"Et_9B_064693",782.918892427202,-1.17509791411589,0.214973982407713,-5.46623317368346,4.59699550558591e-08,8.57025770028175e-06
"Et_5A_041939",75.5315030321966,-1.2199830395375,0.223220860304402,-5.46536303943026,4.61960360144979e-08,8.57463264970856e-06
"Et_4A_032451",47.623620807963,-1.22252052096039,0.223788447476835,-5.46284017224318,4.6857645171974e-08,8.65945652261109e-06
